name
bake
barbecue
blacken
blanche
boil
braise
broil
caramelize
carpaccio
chips
corn
cream
deep-fry
fry
glaze
grill
marinate
mash
pan roast
poach
puree
raw
roast
sauté
sear
simmer
smoke
soups
steam
stew
stir-fry
wilt
